kategori,input_user,prep_input,prep_stopword
Greeting,biasa saja,"['biasa', 'saja']",['biasa']
Greeting,saya biasa saja,"['saya', 'biasa', 'saja']",['biasa']
Greeting,tidak papa,"['tidak', 'papa']",['papa']
Greeting,biasa saja,"['biasa', 'saja']",['biasa']
Greeting,saya biasa saja,"['saya', 'biasa', 'saja']",['biasa']
Greeting,saya biasa saja sih,"['saya', 'biasa', 'saja', 'sih']","['biasa', 'sih']"
Greeting,saya biasa saja,"['saya', 'biasa', 'saja']",['biasa']
Greeting,biasa saja kok,"['biasa', 'saja', 'kok']","['biasa', 'kok']"
Greeting,iya biasa saja,"['iya', 'biasa', 'saja']","['iya', 'biasa']"
Greeting,biasa sekali,"['biasa', 'sekali']","['biasa', 'sekali']"
Greeting,saya merasa baik saja,"['saya', 'rasa', 'baik', 'saja']","['rasa', 'baik']"
Greeting,saya ngerasa baikbaik saja,"['saya', 'ngerasa', 'baikbaik', 'saja']","['ngerasa', 'baikbaik']"
Greeting,saya ngerasa baik saja,"['saya', 'ngerasa', 'baik', 'saja']","['ngerasa', 'baik']"
Greeting,kondisi saya baik saja,"['kondisi', 'saya', 'baik', 'saja']","['kondisi', 'baik']"
Greeting,kondisi saya biasa saja,"['kondisi', 'saya', 'biasa', 'saja']","['kondisi', 'biasa']"
Greeting,biasa saja,"['biasa', 'saja']",['biasa']
Greeting,baik sih,"['baik', 'sih']","['baik', 'sih']"
Greeting,tidak papa,"['tidak', 'papa']",['papa']
Greeting,saya luar biasa baik,"['saya', 'luar', 'biasa', 'baik']","['luar', 'biasa', 'baik']"
Greeting,biasa kurang sehat,"['biasa', 'kurang', 'sehat']","['biasa', 'kurang', 'sehat']"
Greeting,biasa saja,"['biasa', 'saja']",['biasa']
Greeting,biasa sih,"['biasa', 'sih']","['biasa', 'sih']"
Greeting,saya sebenernya biasa saja,"['saya', 'sebenernya', 'biasa', 'saja']","['sebenernya', 'biasa']"
Greeting,wah biasa saja sih,"['wah', 'biasa', 'saja', 'sih']","['wah', 'biasa', 'sih']"
Greeting,aman biasa saja kok,"['aman', 'biasa', 'saja', 'kok']","['aman', 'biasa', 'kok']"
Greeting,biasa saja tensibot,"['biasa', 'saja', 'tensibot']","['biasa', 'tensibot']"
Greeting,biasa saja iya,"['biasa', 'saja', 'iya']","['biasa', 'iya']"
Greeting,biasa sekali,"['biasa', 'sekali']","['biasa', 'sekali']"
Greeting,biasa saja kakak,"['biasa', 'saja', 'kakak']","['biasa', 'kakak']"
Greeting,biasa sih,"['biasa', 'sih']","['biasa', 'sih']"
Greeting,biasa biasa saja kok,"['biasa', 'biasa', 'saja', 'kok']","['biasa', 'biasa', 'kok']"
Greeting,tidak ada apaapa,"['tidak', 'ada', 'apaapa']","['ada', 'apaapa']"
Greeting,saya tidak papa,"['saya', 'tidak', 'papa']","['tidak', 'papa']"
Greeting,saya tidak papa,"['saya', 'tidak', 'papa']","['tidak', 'papa']"
Greeting,baik,['baik'],['baik']
Greeting,baik sekali,"['baik', 'sekali']","['baik', 'sekali']"
Greeting,baik sekali,"['baik', 'sekali']","['baik', 'sekali']"
Greeting,baik sekali,"['baik', 'sekali']","['baik', 'sekali']"
Greeting,baikbaik saja,"['baikbaik', 'saja']",['baikbaik']
Greeting,sangat baik,"['sangat', 'baik']","['sangat', 'baik']"
Greeting,aku baik,"['aku', 'baik']","['aku', 'baik']"
Greeting,saya baik,"['saya', 'baik']",['baik']
Greeting,saya baik saja,"['saya', 'baik', 'saja']",['baik']
Greeting,aku baikbaik saja,"['aku', 'baikbaik', 'saja']","['aku', 'baikbaik']"
Greeting,aku merasa baik,"['aku', 'rasa', 'baik']","['aku', 'rasa', 'baik']"
Greeting,Kabar saya baik,"['kabar', 'saya', 'baik']","['kabar', 'baik']"
Greeting,Kabar saya baikbaik saja,"['kabar', 'saya', 'baikbaik', 'saja']","['kabar', 'baikbaik']"
